epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.905,2.14271,3.60338,1.98837,0.00343,0.1553,0.00546,0.00107,3.55001,295.27,5.45379,0.0874,0.0014,0.0014
2,595.821,2.53462,3.37713,2.47661,0.00117,0.06944,0.00062,0.00013,4.441,34284.1,5026.94,0.0737852,0.00278516,0.00278516
3,742.229,2.61237,3.22647,2.49949,0.00028,0.06692,0.00016,4e-05,3.7841,2.69938e+07,101072,0.0600515,0.00405152,0.00405152
4,892.465,2.60337,3.309,2.60271,0,0,0,0,4.19167,7.99348e+06,85944.7,0.0461991,0.00519908,0.00519908
5,1044.99,2.54562,3.22396,2.5163,0,0,0,0,3.99141,3.29012e+06,16390.6,0.0322278,0.00622784,0.00622784
6,1199.14,2.58904,3.1724,2.58838,6e-05,0.01389,3e-05,1e-05,3.81461,1.89195e+06,9061.45,0.0181378,0.0071378,0.0071378
7,1443.54,2.54577,3.30212,2.53888,0,0,0,0,4.2346,6.55451e+06,8125.34,0.007624,0.007624,0.007624
8,1584.32,2.48459,3.15514,2.37234,0,0,0,0,4.8719,671469,115.36,0.007228,0.007228,0.007228
9,1725.63,2.48999,3.12081,2.36103,0.00044,0.03662,0.00011,3e-05,4.55628,5686.14,49.5844,0.006832,0.006832,0.006832
10,1869.21,2.42999,3.06565,2.25561,0.00186,0.06692,0.00062,0.00012,4.34872,78.673,5.60954,0.006436,0.006436,0.006436
11,2132.08,2.42198,2.99086,2.29024,0.02011,0.06439,0.00423,0.00109,4.45374,207.604,11.988,0.00604,0.00604,0.00604
12,2374.65,2.36078,2.89018,2.1967,0.01592,0.05682,0.01049,0.00418,3.82298,10.4116,5.06097,0.005644,0.005644,0.005644
13,2524.7,2.3321,2.93468,2.21295,0.02643,0.06818,0.00776,0.00155,3.37147,6.15651,3.56759,0.005248,0.005248,0.005248
14,2676.88,2.27129,2.79364,2.14035,0.09552,0.1351,0.03217,0.00758,3.25281,26.6981,3.34249,0.004852,0.004852,0.004852
15,2834.69,2.27612,2.75946,2.12515,0.19949,0.11648,0.037,0.01085,3.04794,7.39737,2.70537,0.004456,0.004456,0.004456
16,3170.11,2.32869,3.03102,2.13604,0.08556,0.17929,0.03184,0.00864,3.03468,3.68045,2.91232,0.00406,0.00406,0.00406
17,3324.08,2.23486,2.75166,2.07226,0.0799,0.15404,0.04289,0.01214,3.02206,4.30402,2.77685,0.003664,0.003664,0.003664
18,3513.98,2.30287,2.82379,2.11326,0.16351,0.16793,0.06841,0.01648,2.98532,4.03456,2.7137,0.003268,0.003268,0.003268
19,3686.66,2.22184,2.76876,2.02962,0.10065,0.22475,0.05808,0.02011,2.8296,3.35097,2.516,0.002872,0.002872,0.002872
20,3856.85,2.24856,2.78414,2.08268,0.20499,0.26744,0.1355,0.0373,2.78513,2.9704,2.38727,0.002476,0.002476,0.002476
21,4009.84,2.19524,2.62334,2.02145,0.15345,0.2803,0.10909,0.02741,2.64985,3.12744,2.32442,0.00208,0.00208,0.00208
22,4410.45,2.07063,2.51787,1.94059,0.14625,0.2803,0.10229,0.02702,2.57777,3.4087,2.2983,0.001684,0.001684,0.001684
23,4553.53,2.07369,2.67438,2.00022,0.20004,0.26894,0.11152,0.03618,2.56568,3.00279,2.31637,0.001288,0.001288,0.001288
24,4700.82,1.96485,2.47777,1.88637,0.22115,0.26146,0.10788,0.03745,2.5581,2.76667,2.30243,0.000892,0.000892,0.000892
25,4845.4,2.05956,2.53253,1.88242,0.17852,0.24369,0.09482,0.03497,2.55297,2.76711,2.3416,0.000496,0.000496,0.000496
